City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
119,Kalianget,ID,81.81,broken clouds,-7.05,113.9333,Pesanggrahan Garam
124,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
125,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
126,Alofi,NU,85.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
132,Caravelas,BR,77.88,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
133,Chirongui,YT,78.73,broken clouds,-12.9319,45.1483,La Villa Mahatsara
135,Morant Bay,JM,78.42,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
137,Inhambane,MZ,75.56,few clouds,-23.865,35.3833,Oceano
140,Sechura,PE,75.63,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
141,Coolum Beach,AU,75.11,scattered clouds,-26.5333,153.1,Coolum Beach Resort
143,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
149,Labuhan,ID,79.47,scattered clouds,-6.8844,112.2051,DoubleFAG
152,Booue,GA,77.18,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
153,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
156,George Town,MY,78.73,light rain,5.4112,100.3354,Cititel Penang
168,Georgetown,MY,78.73,light rain,5.4112,100.3354,Cititel Penang
170,Kavaratti,IN,80.17,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
173,Cabo San Lucas,MX,85.3,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
175,Mataram,ID,85.01,broken clouds,-8.5833,116.1167,Hotel Santika Mataram
179,Mount Isa,AU,87.57,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
182,Pitimbu,BR,81.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
184,Sao Jose Da Coroa Grande,BR,78.64,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
185,Majene,ID,77.16,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
192,Pringsewu,ID,79.99,overcast clouds,-5.3582,104.9744,Urban Style by Front One
198,Butaritari,KI,82.13,broken clouds,3.0707,172.7902,Isles Sunset Lodge
204,Sinnamary,GF,75.69,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
213,Vao,NC,79.23,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
216,Barreirinhas,BR,78.73,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
217,Tual,ID,81.84,clear sky,-5.6667,132.75,Grand Vilia Hotel
219,Katobu,ID,81.09,clear sky,-4.9408,122.5276,La Ode Husein
225,Cayenne,GF,78.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
228,Kralendijk,BQ,78.78,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
242,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
244,Moindou,NC,85.95,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
245,Dubbo,AU,78.93,scattered clouds,-32.25,148.6167,Quality Inn Dubbo International
262,Fare,PF,81.82,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
264,Manta,EC,80.38,scattered clouds,-0.95,-80.7333,Balandra Hotel
265,Sumbe,AO,77.23,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
267,Noumea,NC,85.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
268,Sao Raimundo Nonato,BR,75.7,broken clouds,-9.0153,-42.6994,Real Hotel
280,Belmonte,BR,81.1,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
287,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
292,Geraldton,AU,90.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
299,Souillac,MU,76.35,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
301,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
304,Isangel,VU,89.71,volcanic ash,-19.55,169.2667,Tanna Lodge
310,Fram,PY,86.59,clear sky,-26.9833,-55.8833,Albergue Ja'umina
311,Mar Del Plata,AR,82.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
316,Araceli,PH,80.19,few clouds,10.5529,119.9913,JBryan Traveler's Inn
317,Boyolangu,ID,79.81,broken clouds,-8.1181,111.8935,Yos ega cv
325,Padang,ID,80.19,broken clouds,-0.9492,100.3543,Mercure Padang
329,Port Hedland,AU,89.65,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
336,Faanui,PF,81.61,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
339,Nanakuli,US,80.04,light rain,21.3906,-158.1547,Camp Pālehua
345,Ixtapa,MX,78.03,clear sky,20.7,-105.2,hotel la terminal
349,Sao Joao Da Barra,BR,75.88,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
