City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Samur,RU,41.8253,48.486,40.3,83,98,6.44,overcast clouds
163,Havelock,US,34.8791,-76.9013,44.58,73,9,3.0,clear sky
164,Nikolskoye,RU,59.7035,30.7861,36.88,99,100,10.92,overcast clouds
165,Waipawa,NZ,-41.4122,175.5153,68.63,59,8,7.38,clear sky
166,Bonavista,CA,48.6499,-53.1147,17.11,68,84,21.99,broken clouds
167,Cherskiy,RU,68.75,161.3,-28.64,99,96,4.12,overcast clouds
168,Georgetown,MY,5.4112,100.3354,78.73,92,20,5.01,light rain
169,Wanning,CN,18.8003,110.3967,70.86,88,100,8.52,overcast clouds
170,Kavaratti,IN,10.5669,72.642,80.17,68,85,7.58,overcast clouds
171,Yahotyn,UA,50.2798,31.7625,30.11,91,8,6.2,clear sky
172,Half Moon Bay,US,37.4636,-122.4286,63.28,53,0,18.41,clear sky
173,Cabo San Lucas,MX,22.8909,-109.9124,85.3,56,0,10.89,clear sky
174,Vardo,NO,70.3705,31.1107,31.08,66,92,17.65,light snow
175,Mataram,ID,-8.5833,116.1167,85.01,75,81,1.95,broken clouds
176,Asfi,MA,32.2994,-9.2372,52.81,74,0,18.77,clear sky
177,Bethel,US,41.3712,-73.414,26.94,54,0,3.0,clear sky
178,Mae Sai,TH,20.4335,99.8762,63.9,75,94,0.67,overcast clouds
179,Mount Isa,AU,-20.7333,139.5,87.57,45,20,14.97,few clouds
180,Gejiu,CN,23.306,103.1635,45.37,89,98,6.53,overcast clouds
181,Narsaq,GL,60.9167,-46.05,3.42,69,1,8.66,clear sky
182,Pitimbu,BR,-7.4706,-34.8086,81.19,76,15,8.84,few clouds
183,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.25,96,100,2.62,overcast clouds
184,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.64,76,4,6.67,clear sky
185,Majene,ID,-3.5403,118.9707,77.16,88,100,3.04,overcast clouds
186,Ust-Ishim,RU,57.6935,71.1665,-16.94,100,86,3.06,overcast clouds
187,Chardara,KZ,41.2547,67.9692,31.46,59,99,10.09,overcast clouds
188,Iqaluit,CA,63.7506,-68.5145,-27.31,67,75,8.05,broken clouds
189,Miyako,JP,39.6367,141.9525,41.76,60,41,4.7,scattered clouds
